iter	Passed	Remaining
0	4	4839
1	5	2857
2	6	2244
3	7	1969
4	8	1715
5	9	1547
6	9	1415
7	10	1315
8	11	1239
9	11	1173
10	12	1121
11	13	1075
12	13	1039
13	14	1006
14	14	979
15	15	953
16	16	929
17	16	909
18	17	893
19	17	877
20	18	863
21	19	850
22	19	838
23	20	834
24	21	833
25	22	859
26	24	868
27	24	859
28	25	849
29	25	840
30	26	832
31	27	824
32	27	816
33	28	809
34	29	801
35	29	794
36	30	788
37	30	782
38	31	776
39	32	770
40	32	765
41	33	761
42	33	755
43	34	752
44	35	757
45	36	762
46	38	770
47	38	767
48	39	763
49	39	757
50	40	752
51	40	746
52	41	741
53	42	736
54	42	732
55	43	728
56	43	724
57	44	721
58	45	717
59	45	713
60	46	709
61	46	705
62	47	701
63	47	697
64	48	694
65	48	691
66	49	689
67	50	689
68	50	687
69	51	686
70	52	684
71	52	682
72	53	681
73	54	681
74	55	681
75	56	681
76	56	679
77	57	676
78	57	674
79	58	672
80	59	669
81	59	667
82	59	662
83	60	660
84	61	658
85	61	656
86	62	654
87	63	658
88	64	657
89	65	658
90	65	657
91	67	665
92	68	664
93	68	662
94	69	661
95	70	662
96	71	661
97	71	662
98	72	660
99	73	658
100	73	655
101	74	653
102	74	651
103	75	648
104	75	646
105	76	644
106	76	642
107	77	640
108	78	638
109	78	636
110	79	634
111	80	635
112	81	637
113	82	641
114	83	641
115	84	641
116	84	640
117	85	638
118	86	637
119	86	636
120	87	634
121	87	632
122	88	631
123	89	630
124	89	629
125	90	628
126	91	627
127	92	626
128	92	626
129	93	626
130	94	625
131	96	632
132	97	633
133	97	632
134	98	631
135	99	630
136	99	628
137	100	627
138	101	626
139	101	624
140	102	623
141	102	620
142	103	618
143	103	617
144	104	616
145	105	615
146	105	613
147	106	612
148	107	611
149	107	611
150	108	611
151	109	610
152	110	611
153	111	610
154	111	608
155	112	607
156	112	605
157	113	604
158	113	602
159	114	601
160	114	598
161	115	597
162	116	596
163	116	595
